Time,ROR,HAP,USD
0,1.0475897951531707,1.0499660748578774,1.0497836812511214
1,1.0490655090183958,1.049709120425958,1.0509290204761896
2,1.0479308498647248,1.046226770635521,1.0499655838133175
3,1.050334098494632,1.0482120067090697,1.0479654087296868
4,1.0519160941187735,1.048328897221942,1.0493995189725698
5,1.0526360768847218,1.048252626133744,1.048140344422268
6,1.0531798455723624,1.0484733211748838,1.0475335694888328
7,1.0540485682778136,1.0474801611263298,1.0474820151136464
8,1.052940710145556,1.046815359740802,1.047252902123086
9,1.0521096588726653,1.0462508444854242,1.044918260961623
10,1.053464209329554,1.045152932729018,1.044260212040821
11,1.0521089159205508,1.0456945454110405,1.0459267151412912
12,1.0523757652179009,1.047233808811525,1.0473359452859294
13,1.0517563796728384,1.0476496465819964,1.0492905137346198
14,1.0509057765696257,1.0440058312966485,1.0524485353966226
15,1.0520857650789734,1.0431473757419505,1.0521948453952514
16,1.0497394621571456,1.0410243145832951,1.051100098458467
17,1.0487687020193128,1.042423369830948,1.0495680512506949
18,1.045336146242541,1.0394828449240416,1.0484935484025668
19,1.0469712146523815,1.039394382016066,1.050193914891486
20,1.045964221459885,1.0405723205660469,1.0493974139392062
21,1.0448415467225467,1.042889288786874,1.0497521364953477
22,1.0467853644387652,1.0430952101665625,1.05062541880776
23,1.0455953982372763,1.041662978592157,1.047125120370191
24,1.0455949027618237,1.0405084274634866,1.048682668861514
25,1.048440400412496,1.041300524332878,1.0492463585656568
26,1.046450672617381,1.0403340737190274,1.0470644649665033
27,1.0471376136207735,1.0419005947474618,1.0455465310520655
28,1.0468757269844862,1.0425876070658104,1.0473853843053618
29,1.048007031842008,1.041485886496745,1.0495178829542102
30,1.0509697463214278,1.0438068432995762,1.0504609986878417
31,1.0516534743175745,1.047351935070631,1.0487527829179286
32,1.049425347088943,1.0458275592983135,1.0488218550063249
33,1.0526535243154889,1.0439158488889508,1.048848883972289
34,1.053856241270864,1.047088096191602,1.0479593323467538
35,1.05334136090244,1.0462438573191708,1.0447480045029651
36,1.0496271657298477,1.0471115918539795,1.044538724490684
37,1.048886838113787,1.0481450228155478,1.0453478256683015
